target x,target y,x trajectory,y_trajectory
,,-0.014816261,0.002620824
,,-0.01495208,0.002628853
,,-0.015088382,0.002636812
,,-0.015225163,0.002644696
,,-0.015362422,0.0026525
,,-0.015500156,0.002660218
,,-0.015638363,0.002667847
,,-0.01577704,0.002675379
,,-0.015916184,0.002682811
,,-0.016055794,0.002690138
,,-0.016195866,0.002697354
,,-0.016336398,0.002704455
,,-0.016477387,0.002711436
,,-0.016618832,0.002718293
,,-0.016760729,0.00272502
,,-0.016903077,0.002731614
,,-0.017045871,0.002738069
,,-0.017189111,0.002744381
,,-0.017332793,0.002750547
,,-0.017476914,0.002756561
,,-0.017621473,0.00276242
,,-0.017766465,0.00276812
,,-0.017911888,0.002773656
,,-0.018057738,0.002779024
,,-0.018204013,0.002784221
,,-0.018350708,0.002789243
,,-0.018497821,0.002794085
,,-0.018645346,0.002798745
,,-0.018793281,0.002803219
,,-0.01894162,0.002807504
,,-0.019090359,0.002811595
,,-0.019239492,0.002815489
,,-0.019389016,0.002819184
,,-0.019538924,0.002822675
,,-0.019689211,0.00282596
,,-0.019839871,0.002829036
,,-0.019990898,0.002831899
,,-0.020142286,0.002834547
,,-0.020294029,0.002836976
,,-0.02044612,0.002839185
,,-0.020598552,0.002841169
,,-0.020751318,0.002842927
,,-0.020904412,0.002844456
,,-0.021057826,0.002845753
,,-0.021211554,0.002846816
,,-0.021365587,0.002847642
,,-0.021519919,0.00284823
,,-0.021674542,0.002848577
,,-0.021829448,0.002848681
,,-0.021984629,0.002848541
,,-0.022140079,0.002848153
,,-0.022295788,0.002847516
,,-0.02245175,0.00284663
,,-0.022607955,0.002845491
,,-0.022764397,0.002844098
,,-0.022921066,0.002842451
,,-0.023077956,0.002840547
,,-0.023235057,0.002838386
,,-0.023392361,0.002835967
,,-0.02354986,0.002833287
,,-0.023707545,0.002830347
,,-0.023865407,0.002827146
,,-0.024023439,0.002823683
,,-0.02418163,0.002819957
,,-0.024339973,0.002815968
,,-0.024498457,0.002811716
,,-0.024657073,0.0028072
,,-0.024815813,0.00280242
,,-0.024974666,0.002797377
,,-0.025133623,0.00279207
,,-0.025292673,0.0027865
,,-0.025451807,0.002780666
,,-0.025611013,0.00277457
,,-0.025770283,0.002768212
,,-0.025929604,0.002761592
,,-0.026088967,0.002754711
,,-0.02624836,0.00274757
,,-0.026407771,0.00274017
,,-0.026567189,0.002732511
